reserved;object;attribute;briefDescription;displayFormat;definition
;QvPartialDampedObj;value_18;;;
;QvPartialDampedObj;value_19;;;
;QvPartialDampedObj;value_20;;;
;QnPercentage;;;NUMERIC;
;QpPercentage;;;NUMERIC;
;QvPartialPercentage;;;NUMERIC;
;QvPartialRangeObj;unit;;ENUMERATION;_T_VOLUME_FLOW
;QvPartialRangeObj;type;;;
;QvPartialRangeObj;value_0;;NUMERIC;
;QvPartialRangeObj;value_1;;NUMERIC;
;QvPartialRangeObj;value_2;;;
;QvPartialRangeObj;value_3;;;
;QvPartialRangeObj;value_4;;;
;QvPartialRangeObj;value_5;;;
;QvPartialRangeObj;value_6;;;
;QvPartialRangeObj;value_7;;;
;QvPartialRangeObj;value_8;;;
;QvPartialRangeObj;value_9;;;
;QvPartialRangeObj;value_10;;;
;QvPartialRangeObj;value_11;;;
;QvPartialRangeObj;value_12;;;
;QvPartialRangeObj;value_13;;;
;QvPartialRangeObj;value_14;;;
;QvPartialRangeObj;value_15;;;
;QvPartialRangeObj;value_16;;;
;QvPartialRangeObj;value_17;;;
;QvPartialRangeObj;value_18;;;
;QvPartialRangeObj;value_19;;;
;QvPartialRangeObj;value_20;;;
;QnPartialRangeObj;unit;;ENUMERATION;_T_VOLUME_FLOW
;QnPartialRangeObj;type;;;
;QnPartialRangeObj;value_0;;NUMERIC;
;QnPartialRangeObj;value_1;;NUMERIC;
;QnPartialRangeObj;value_2;;;
;QnPartialRangeObj;value_3;;;
;QnPartialRangeObj;value_4;;;
;QnPartialRangeObj;value_5;;;
;QnPartialRangeObj;value_6;;;
;QnPartialRangeObj;value_7;;;
;QnPartialRangeObj;value_8;;;
;QnPartialRangeObj;value_9;;;
;QnPartialRangeObj;value_10;;;
;QnPartialRangeObj;value_11;;;
;QnPartialRangeObj;value_12;;;
;QnPartialRangeObj;value_13;;;
;QnPartialRangeObj;value_14;;;
;QnPartialRangeObj;value_15;;;
;QnPartialRangeObj;value_16;;;
;QnPartialRangeObj;value_17;;;
;QnPartialRangeObj;value_18;;;
;QnPartialRangeObj;value_19;;;
;QnPartialRangeObj;value_20;;;
;QpObj;unit;;ENUMERATION;_T_POWER
;QpObj;type;;;
;QpObj;value_0;;NUMERIC;
;QpObj;value_1;;;
;QpObj;value_2;;;
;QpObj;value_3;;;
;QpObj;value_4;;;
;QpObj;value_5;;;
;QpObj;value_6;;;
;QpObj;value_7;;;
;QpObj;value_8;;;
;QpObj;value_9;;;
;QpObj;value_10;;;
;QpObj;value_11;;;
;QpObj;value_12;;;
;QpObj;value_13;;;
;QpObj;value_14;;;
;QpObj;value_15;;;
;QpObj;value_16;;;
;QpObj;value_17;;;
;QpObj;value_18;;;
;QpObj;value_19;;;
;QpObj;value_20;;;
;refPressureObj;unit;;ENUMERATION;_T_PRESSURE
;refPressureObj;type;;;
;refPressureObj;value_0;;NUMERIC;
;refPressureObj;value_1;;;
;refPressureObj;value_2;;;
;refPressureObj;value_3;;;
;refPressureObj;value_4;;;
;refPressureObj;value_5;;;
;refPressureObj;value_6;;;
;refPressureObj;value_7;;;
;refPressureObj;value_8;;;
;refPressureObj;value_9;;;
;refPressureObj;value_10;;;
;refPressureObj;value_11;;;
;refPressureObj;value_12;;;
;refPressureObj;value_13;;;
;refPressureObj;value_14;;;
;refPressureObj;value_15;;;
;refPressureObj;value_16;;;
;refPressureObj;value_17;;;
;refPressureObj;value_18;;;
;refPressureObj;value_19;;;
;refPressureObj;value_20;;;
;densigyRefObj;unit;;;
;densigyRefObj;type;;;
;densigyRefObj;value_0;;NUMERIC;
;densigyRefObj;value_1;;;
;densigyRefObj;value_2;;;
;densigyRefObj;value_3;;;
;densigyRefObj;value_4;;;
;densigyRefObj;value_5;;;
;densigyRefObj;value_6;;;
;densigyRefObj;value_7;;;
;densigyRefObj;value_8;;;
;densigyRefObj;value_9;;;
;densigyRefObj;value_10;;;
;densigyRefObj;value_11;;;
;densigyRefObj;value_12;;;
;densigyRefObj;value_13;;;
;densigyRefObj;value_14;;;
;densigyRefObj;value_15;;;
;densigyRefObj;value_16;;;
;densigyRefObj;value_17;;;
;densigyRefObj;value_18;;;
;densigyRefObj;value_19;;;
;densigyRefObj;value_20;;;
;refTemperatureObj;unit;;;
;refTemperatureObj;type;;;
;refTemperatureObj;value_0;;NUMERIC;
;refTemperatureObj;value_1;;;
;refTemperatureObj;value_2;;;
;refTemperatureObj;value_3;;;
;refTemperatureObj;value_4;;;
;refTemperatureObj;value_5;;;
;refTemperatureObj;value_6;;;
;refTemperatureObj;value_7;;;
;refTemperatureObj;value_8;;;
;refTemperatureObj;value_9;;;
;refTemperatureObj;value_10;;;
;refTemperatureObj;value_11;;;
;refTemperatureObj;value_12;;;
;refTemperatureObj;value_13;;;
;refTemperatureObj;value_14;;;
;refTemperatureObj;value_15;;;
