reserved;definition;name;value;briefDescription
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 24;;;;
Copyright ABB 2011.;;;;
All rights reserved. Reproduction modification;;;;
use or disclosure to third parties without express;;;;
authority is forbidden.;;;;
!;;;;
!;;;;
";;;;
";;;;
;T_HART_UNITS;UM_YARD_PER_SECOND;NOT_SUPPORTED;Velocity
;T_HART_UNITS;UM_YARD_PER_MINUTE;NOT_SUPPORTED;Velocity
;T_HART_UNITS;UM_YARD_PER_HOUR;NOT_SUPPORTED;Velocity
;T_HART_UNITS;UM_MILE_PER_HOUR;NOT_SUPPORTED;Velocity
;T_HART_UNITS;UM_KNOT;NOT_SUPPORTED;Velocity
;T_HART_UNITS;UM_LITER_PER_SECOND;24;Volume Flow
;T_HART_UNITS;UM_LITER_PER_MINUTE;17;Volume Flow
;T_HART_UNITS;UM_LITER_PER_HOUR;138;Volume Flow
;T_HART_UNITS;UM_CUBIC_FEET_PER_SECOND;26;Volume Flow
;T_HART_UNITS;UM_CUBIC_FEET_PER_MINUTE;15;Volume Flow
;T_HART_UNITS;UM_CUBIC_FEET_PER_HOUR;130;Volume Flow
;T_HART_UNITS;UM_CUBIC_FEET_PER_DAY;27;Volume Flow
;T_HART_UNITS;UM_CUBIC_METER_PER_SECOND;28;Volume Flow
;T_HART_UNITS;UM_CUBIC_METER_PER_MINUTE;131;Volume Flow
;T_HART_UNITS;UM_CUBIC_METER_PER_HOUR;19;Volume Flow
;T_HART_UNITS;UM_CUBIC_METER_PER_DAY;29;Volume Flow
;T_HART_UNITS;UM_US_GALLON_PER_SECOND;22;Volume Flow
;T_HART_UNITS;UM_US_GALLON_PER_MINUTE;16;Volume Flow
;T_HART_UNITS;UM_US_GALLON_PER_HOUR;136;Volume Flow
;T_HART_UNITS;UM_US_GALLON_PER_DAY;235;Volume Flow
;T_HART_UNITS;UM_IMPERIAL_GALLON_PER_SECOND;137;Volume Flow
;T_HART_UNITS;UM_IMPERIAL_GALLON_PER_MINUTE;18;Volume Flow
;T_HART_UNITS;UM_IMPERIAL_GALLON_PER_HOUR;30;Volume Flow
;T_HART_UNITS;UM_IMPERIAL_GALLON_PER_DAY;31;Volume Flow
;T_HART_UNITS;UM_BARREL_US_BEER_PER_HOUR;NOT_SUPPORTED;Volume Flow TODO custom-unit
;T_HART_UNITS;UM_HECTOLITER_PER_HOUR;NOT_SUPPORTED;Volume Flow TODO custom-unit
;T_HART_UNITS;UM_MEGALITER_PER_DAY;25;Volume Flow
;T_HART_UNITS;UM_MEGA_US_GALLON_PER_DAY;23;Volume Flow
;T_HART_UNITS;UM_CUBIC_MICROMETER_PER_SECOND;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_MICROMETER_PER_MINUTE;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_MICROMETER_PER_HOUR;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_MICROMETER_PER_DAY;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_MILLIMETER_PER_SECOND;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_MILLIMETER_PER_MINUTE;NOT_SUPPORTED;Volume Flow
