reserved;Target Subsystem Name;Target Object Name;Target Attribute Index;Bas;Std;Adv;Svc
##Module arm;;;;;;;
##ModuleRevision 01;;;;;;;
##FileRevision 122;;;;;;;
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorCalCertNo;WHOLE_OBJECT;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorCalLocation;WHOLE_OBJECT;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranType;WHOLE_OBJECT;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranID;WHOLE_OBJECT;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranSapErpNo;WHOLE_OBJECT;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_swRevisionHmi_transmitter;WHOLE_OBJECT;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_hwRevisionHmi_transmitter;WHOLE_OBJECT;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_swRevisionHmi_fe;WHOLE_OBJECT;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_hwRevisionHmi_fe;WHOLE_OBJECT;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranCalDate;WHOLE_OBJECT;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranCalCertNo;WHOLE_OBJECT;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_manufacturer;WHOLE_OBJECT;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_street;WHOLE_OBJECT;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_city;WHOLE_OBJECT;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_phone;WHOLE_OBJECT;RO;RW;RW;RW
